agg_rank	source_line	sum_score	max_score	num_suites	R0_score	R0_rank	R1_score	R1_rank	E0_score	E0_rank	E1_score	E1_rank	methods	jimple_samples
13	204	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	java.lang.String parseToken	$stack7 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithms: boolea | if $stack7 == 0 goto pos = pos + 1
14	203	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	java.lang.String parseToken	ch = chars[pos]
15	200	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	java.lang.String parseToken	chars = virtualinvoke str.<java.lang.String: char[] toCharArray()>()
16	201	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	java.lang.String parseToken	pos = 0
17	208	2.0200451390	0.7608859103	4	0.5520524475	30.0	0.7608859103	13.0	0.3535533906	44.5	0.3535533906	42.5	java.lang.String parseToken	pos = pos + 1
18	375	1.7166894164	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.5000000000	12.5	0.5000000000	11.5	int[] getVersionNo	goto [?= $stack9 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithm
19	382	1.7166894164	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.5000000000	12.5	0.5000000000	11.5	int[] getVersionNo	return vernos
20	374	1.7166894164	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.5000000000	12.5	0.5000000000	11.5	int[] getVersionNo	segment = virtualinvoke versionString.<java.lang.String: java.lang.String substr
21	697	1.6330495422	0.5000000000	4	0.3086066999	63.0	0.3244428423	37.0	0.5000000000	12.5	0.5000000000	11.5	int daysBetweenDateStrings	$stack26 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: int | return $stack26
22	692	1.5764191576	0.5000000000	4	0.2519763153	70.5	0.3244428423	37.0	0.5000000000	12.5	0.5000000000	11.5	int daysBetweenDateStrings	$stack16 = parts1[1] | m1 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack16)
23	693	1.5764191576	0.5000000000	4	0.2519763153	70.5	0.3244428423	37.0	0.5000000000	12.5	0.5000000000	11.5	int daysBetweenDateStrings	$stack18 = parts1[2] | d1 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack18)
24	694	1.5764191576	0.5000000000	4	0.2519763153	70.5	0.3244428423	37.0	0.5000000000	12.5	0.5000000000	11.5	int daysBetweenDateStrings	$stack20 = parts2[0] | y2 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack20)
25	695	1.5764191576	0.5000000000	4	0.2519763153	70.5	0.3244428423	37.0	0.5000000000	12.5	0.5000000000	11.5	int daysBetweenDateStrings	$stack22 = parts2[1] | m2 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack22)
26	696	1.5764191576	0.5000000000	4	0.2519763153	70.5	0.3244428423	37.0	0.5000000000	12.5	0.5000000000	11.5	int daysBetweenDateStrings	$stack24 = parts2[2] | d2 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack24)
27	343	1.5760581849	0.5821817364	4	0.5821817364	14.5	0.2867696673	46.0	0.3535533906	44.5	0.3535533906	42.5	int extractIntInStr	if ch < 48 goto return num | if ch <= 57 goto $stack8 = num * 10
28	344	1.5703638740	0.6000991981	4	0.6000991981	9.0	0.2631578947	54.0	0.3535533906	44.5	0.3535533906	42.5	int extractIntInStr	return num
29	342	1.5457831056	0.5821817364	4	0.5821817364	14.5	0.2564945880	58.0	0.3535533906	44.5	0.3535533906	42.5	int extractIntInStr	ch = virtualinvoke str.<java.lang.String: char charAt(int)>(i)
30	340	1.5457831056	0.5821817364	4	0.5821817364	14.5	0.2564945880	58.0	0.3535533906	44.5	0.3535533906	42.5	int extractIntInStr	num = 0
31	691	1.4299725482	0.5000000000	4	0.2519763153	70.5	0.3244428423	37.0	0.5000000000	12.5	0.3535533906	42.5	int daysBetweenDateStrings	$stack14 = parts1[0] | y1 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack14)
32	378	1.4237961976	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.3535533906	44.5	0.3535533906	42.5	int[] getVersionNo	$stack9 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithms: int ex | vernos[index] = $stack9
33	379	1.4237961976	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.3535533906	44.5	0.3535533906	42.5	int[] getVersionNo	cur = pos + 1
34	369	1.4237961976	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.3535533906	44.5	0.3535533906	42.5	int[] getVersionNo	if index <= 3 goto pos = virtualinvoke versionString.<java.lang.String: int inde | if pos > 0 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java
35	380	1.4237961976	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.3535533906	44.5	0.3535533906	42.5	int[] getVersionNo	index = index + 1
36	337	1.4098450928	0.5821817364	4	0.5821817364	14.5	0.2503130872	63.0	0.2886751346	76.0	0.2886751346	70.0	int extractIntInStr	$stack4 = virtualinvoke str.<java.lang.String: int length()>() | if $stack4 >= 1 goto num = 0 | if str == null goto return 0
37	367	1.2940396856	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.2886751346	76.0	0.2886751346	70.0	int[] getVersionNo	cur = 0 | index = 0
38	373	1.2940396856	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.2886751346	76.0	0.2886751346	70.0	int[] getVersionNo	if cur >= pos goto return null | if pos != -1 goto (branch) | return null
39	372	1.2940396856	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.2886751346	76.0	0.2886751346	70.0	int[] getVersionNo	pos = virtualinvoke versionString.<java.lang.String: int indexOf(int,int)>(46, c
40	365	1.2940396856	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.2886751346	76.0	0.2886751346	70.0	int[] getVersionNo	vernos = newarray (int)[4]
41	366	1.2940396856	0.5091750772	4	0.5091750772	52.0	0.2075143392	77.5	0.2886751346	76.0	0.2886751346	70.0	int[] getVersionNo	vernos[0] = 0 | vernos[1] = 0 | vernos[2] = 0
42	699	1.2835259388	0.3535533906	4	0.2519763153	70.5	0.3244428423	37.0	0.3535533906	44.5	0.3535533906	42.5	int daysBetweenDateStrings	parts1#2 = $stack28 | return -2147483648
43	362	1.2078549308	0.5091750772	4	0.5091750772	52.0	0.1986798536	88.0	0.2500000000	90.0	0.2500000000	85.0	int[] getVersionNo	$stack6 = virtualinvoke versionString.<java.lang.String: int length()>() | if $stack6 >= 1 goto vernos = newarray (int)[4] | if versionString == null goto return null
44	689	1.0853091579	0.3535533906	4	0.1781741613	78.5	0.2649064714	50.0	0.3535533906	44.5	0.2886751346	70.0	int daysBetweenDateStrings	$stack12 = lengthof parts1 | $stack13 = lengthof parts2 | if $stack13 == 3 goto $stack14 = parts1[0]
45	624	0.8218146481	0.3535533906	3	0.0000000000		0.1147078669	99.5	0.3535533906	44.5	0.3535533906	42.5	int monAbbr2month	return -1
46	688	0.7317364274	0.2886751346	4	0.0952380952	86.0	0.0978231976	127.0	0.2886751346	76.0	0.2500000000	85.0	int daysBetweenDateStrings	parts2 = virtualinvoke dateStr2.<java.lang.String: java.lang.String[] split(java
47	444	0.7196625397	0.2886751346	4	0.0910031510	95.0	0.0899842541	133.0	0.2886751346	76.0	0.2500000000	85.0	int daysBetweenDates	$stack16 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: boo | $stack18 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: boo | if $stack16 == 0 goto $stack17 = new java.lang.IllegalArgumentException
48	445	0.7196625397	0.2886751346	4	0.0910031510	95.0	0.0899842541	133.0	0.2886751346	76.0	0.2500000000	85.0	int daysBetweenDates	$stack17 = new java.lang.IllegalArgumentException | specialinvoke $stack17.<java.lang.IllegalArgumentException: void <init>(java.lan | throw $stack17
49	442	0.7196625397	0.2886751346	4	0.0910031510	95.0	0.0899842541	133.0	0.2886751346	76.0	0.2500000000	85.0	int daysBetweenDates	cal1 = staticinvoke <java.util.Calendar: java.util.Calendar getInstance()>()
50	443	0.7196625397	0.2886751346	4	0.0910031510	95.0	0.0899842541	133.0	0.2886751346	76.0	0.2500000000	85.0	int daysBetweenDates	cal2 = staticinvoke <java.util.Calendar: java.util.Calendar getInstance()>()
51	488	0.7066629232	0.2236067977	4	0.1259881577	80.0	0.1529438226	90.0	0.2236067977	95.5	0.2041241452	97.0	boolean checkValidDate	if day <= 0 goto return 0 | if day >= daysInMonth goto return 0 | return 0
52	687	0.6930612928	0.2500000000	4	0.0952380952	86.0	0.0978231976	127.0	0.2500000000	90.0	0.2500000000	85.0	int daysBetweenDateStrings	parts1 = virtualinvoke dateStr1.<java.lang.String: java.lang.String[] split(java
53	621	0.6920581361	0.2886751346	3	0.0000000000		0.1147078669	99.5	0.2886751346	76.0	0.2886751346	70.0	int monAbbr2month	if hash != 4482403 goto return -1
54	619	0.6147078669	0.2500000000	3	0.0000000000		0.1147078669	99.5	0.2500000000	90.0	0.2500000000	85.0	int monAbbr2month	if hash != 5140342 goto (branch)
55	470	0.5640705107	0.1889822365	4	0.0930484210	90.0	0.1052631579	111.5	0.1767766953	102.5	0.1889822365	99.5	int calcDaysInMonth	if month != 11 goto return 31 | if month == 6 goto return 30 | if month == 9 goto return 30
56	617	0.5619214623	0.2236067977	3	0.0000000000		0.1147078669	99.5	0.2236067977	95.5	0.2236067977	94.0	int monAbbr2month	if hash != 5202804 goto (branch)
57	615	0.5619214623	0.2236067977	3	0.0000000000		0.1147078669	99.5	0.2236067977	95.5	0.2236067977	94.0	int monAbbr2month	if hash != 5465466 goto (branch)
58	487	0.5429191069	0.1666666667	4	0.1028689000	82.5	0.1226278679	92.5	0.1666666667	105.0	0.1507556723	109.5	boolean checkValidDate	daysInMonth = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: 
59	613	0.5424388098	0.2236067977	3	0.0000000000		0.1147078669	99.5	0.2236067977	95.5	0.2041241452	97.0	int monAbbr2month	if hash != 4289895 goto (branch)
60	611	0.5078142486	0.2041241452	3	0.0000000000		0.1147078669	99.5	0.2041241452	99.0	0.1889822365	99.5	int monAbbr2month	if hash != 4879724 goto (branch)
61	609	0.4804667987	0.1889822365	3	0.0000000000		0.1147078669	99.5	0.1889822365	100.5	0.1767766953	101.5	int monAbbr2month	if hash != 4879726 goto (branch)
62	467	0.4770907396	0.1581138830	4	0.0824786099	99.5	0.0978231976	127.0	0.1581138830	108.0	0.1386750491	122.5	int calcDaysInMonth	if month != 2 goto (branch)
63	607	0.4581512289	0.1767766953	3	0.0000000000		0.1147078669	99.5	0.1767766953	102.5	0.1666666667	104.0	int monAbbr2month	if hash != 5071225 goto (branch)
64	605	0.4480412003	0.1666666667	3	0.0000000000		0.1147078669	99.5	0.1666666667	105.0	0.1666666667	104.0	int monAbbr2month	if hash != 4288626 goto (branch)
65	485	0.4345107085	0.1581138830	4	0.0636607014	101.0	0.0683985568	142.0	0.1581138830	108.0	0.1443375673	116.0	boolean checkValidDate	if month < 1 goto return 0 | if month <= 12 goto daysInMonth = staticinvoke <comp5111.assignment.cut.Subject$
66	603	0.4309356329	0.1581138830	3	0.0000000000		0.1147078669	99.5	0.1581138830	108.0	0.1581138830	106.5	int monAbbr2month	if hash != 5071218 goto (branch)
67	465	0.4190378085	0.1507556723	4	0.0629940788	102.0	0.0716574364	141.0	0.1507556723	110.5	0.1336306210	125.5	int calcDaysInMonth	if month < 1 goto return -1 | if month <= 12 goto (branch)
68	601	0.4162192115	0.1507556723	3	0.0000000000		0.1147078669	99.5	0.1507556723	110.5	0.1507556723	109.5	int monAbbr2month	if hash != 4613474 goto (branch)
69	473	0.4046253983	0.2041241452	3	0.0952380952	86.0	0.1052631579	111.5	0.0000000000		0.2041241452	97.0	int calcDaysInMonth	return 31
70	597	0.3912729698	0.1443375673	3	0.0000000000		0.1025978352	119.5	0.1443375673	116.5	0.1443375673	116.0	int monAbbr2month	$stack10 = ch0 << 16 | $stack11 = $stack10 | $stack9 | $stack9 = ch1 << 8
71	594	0.3912729698	0.1443375673	3	0.0000000000		0.1025978352	119.5	0.1443375673	116.5	0.1443375673	116.0	int monAbbr2month	ch0 = virtualinvoke abrr.<java.lang.String: char charAt(int)>(0)
72	595	0.3912729698	0.1443375673	3	0.0000000000		0.1025978352	119.5	0.1443375673	116.5	0.1443375673	116.0	int monAbbr2month	ch1 = virtualinvoke abrr.<java.lang.String: char charAt(int)>(1)
73	596	0.3912729698	0.1443375673	3	0.0000000000		0.1025978352	119.5	0.1443375673	116.5	0.1443375673	116.0	int monAbbr2month	ch2 = virtualinvoke abrr.<java.lang.String: char charAt(int)>(2)
74	599	0.3912729698	0.1443375673	3	0.0000000000		0.1025978352	119.5	0.1443375673	116.5	0.1443375673	116.0	int monAbbr2month	if hash != 4874606 goto (branch)
75	591	0.3365849860	0.1386750491	3	0.0000000000		0.0592348878	145.0	0.1386750491	122.5	0.1386750491	122.5	int monAbbr2month	$stack5 = virtualinvoke abrr.<java.lang.String: int length()>() | if $stack5 == 3 goto ch0 = virtualinvoke abrr.<java.lang.String: char charAt(int | if abrr == null goto return -1
76	872	0.3058876452	0.3058876452	1	0.0000000000		0.3058876452	45.0	0.0000000000		0.0000000000		boolean equals	return 0
77	871	0.2649064714	0.2649064714	1	0.0000000000		0.2649064714	50.0	0.0000000000		0.0000000000		boolean equals	$stack3 = virtualinvoke this.<java.lang.Object: java.lang.Class getClass()>() | $stack4 = virtualinvoke o.<java.lang.Object: java.lang.Class getClass()>() | if $stack3 == $stack4 goto player = (comp5111.assignment.cut.Subject$GamePlayer)
78	869	0.2649064714	0.2649064714	1	0.0000000000		0.2649064714	50.0	0.0000000000		0.0000000000		boolean equals	if this != o goto (branch)
79	864	0.2433321317	0.2433321317	1	0.0000000000		0.2433321317	66.5	0.0000000000		0.0000000000		java.lang.String toString	"$stack1 = this.<comp5111.assignment.cut.Subject$GamePlayer: int score> | $stack2 = this.<comp5111.assignment.cut.Subject$GamePlayer: java.lang.String nam | $stack3 = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (java.lang.S"
80	471	0.2236067977	0.2236067977	1	0.0000000000		0.0000000000		0.2236067977	95.5	0.0000000000		int calcDaysInMonth	return 30
81	814	0.1074861546	0.1074861546	1	0.0000000000		0.1074861546	107.5	0.0000000000		0.0000000000		void <init>	return
82	812	0.1074861546	0.1074861546	1	0.0000000000		0.1074861546	107.5	0.0000000000		0.0000000000		void <init>	specialinvoke this.<java.lang.Object: void <init>()>() | this.<comp5111.assignment.cut.Subject$GamePlayer: comp5111.assignment.cut.Subjec
83	813	0.1074861546	0.1074861546	1	0.0000000000		0.1074861546	107.5	0.0000000000		0.0000000000		void <init>	this.<comp5111.assignment.cut.Subject$GamePlayer: java.lang.String name> = name
84	8	0.1045773971	0.1045773971	1	0.0000000000		0.1045773971	114.5	0.0000000000		0.0000000000		void <init>	return | specialinvoke this.<java.lang.Object: void <init>()>()
85	839	0.0867109970	0.0867109970	1	0.0000000000		0.0867109970	137.5	0.0000000000		0.0000000000		void setScore	return
86	838	0.0867109970	0.0867109970	1	0.0000000000		0.0867109970	137.5	0.0000000000		0.0000000000		void setScore	this.<comp5111.assignment.cut.Subject$GamePlayer: int score> = score
87	829	0.0811107106	0.0811107106	1	0.0000000000		0.0811107106	139.5	0.0000000000		0.0000000000		int getScore	$stack1 = this.<comp5111.assignment.cut.Subject$GamePlayer: int score> | return $stack1
88	817	0.0573539335	0.0573539335	1	0.0000000000		0.0573539335	147.5	0.0000000000		0.0000000000		java.lang.String getName	$stack1 = this.<comp5111.assignment.cut.Subject$GamePlayer: java.lang.String nam | return $stack1
89	810	0.0526315789	0.0526315789	1	0.0000000000		0.0526315789	151.5	0.0000000000		0.0000000000		void <init>	return
90	808	0.0526315789	0.0526315789	1	0.0000000000		0.0526315789	151.5	0.0000000000		0.0000000000		void <init>	specialinvoke this.<java.lang.Object: void <init>()>() | this.<comp5111.assignment.cut.Subject$GamePlayer: comp5111.assignment.cut.Subjec
91	809	0.0526315789	0.0526315789	1	0.0000000000		0.0526315789	151.5	0.0000000000		0.0000000000		void <init>	"this.<comp5111.assignment.cut.Subject$GamePlayer: java.lang.String name> = ""Anon"
92	486	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean checkValidDate	return 0
93	498	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean judgeLeapYear	$stack1 = year % 4 | if $stack1 == 0 goto $stack2 = year % 100
94	500	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean judgeLeapYear	$stack2 = year % 100 | if $stack2 == 0 goto $stack3 = year % 400
95	503	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean judgeLeapYear	$stack3 = year % 400 | if $stack3 != 0 goto return 0 | return 0
96	499	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean judgeLeapYear	return 0
97	501	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		boolean judgeLeapYear	return 1
98	468	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int calcDaysInMonth	$stack3 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: bool | $stack4 = 28 | $stack4 = 29
99	466	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int calcDaysInMonth	return -1
100	690	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDateStrings	return -2147483648
101	447	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	$stack19 = month1 - 1 | virtualinvoke cal1.<java.util.Calendar: void set(int,int,int,int,int,int)>(year1
102	449	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	$stack20 = month2 - 1 | virtualinvoke cal2.<java.util.Calendar: void set(int,int,int,int,int,int)>(year2
103	454	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	$stack23 = diff / 86400000L | $stack24 = (int) $stack23 | return $stack24
104	453	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	diff = millis2 - millis1
105	451	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	millis1 = virtualinvoke cal1.<java.util.Calendar: long getTimeInMillis()>()
106	452	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	millis2 = virtualinvoke cal2.<java.util.Calendar: long getTimeInMillis()>()
107	448	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	virtualinvoke cal1.<java.util.Calendar: void set(int,int)>(14, 0)
108	450	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysBetweenDates	virtualinvoke cal2.<java.util.Calendar: void set(int,int)>(14, 0)
109	674	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int daysInYear	$stack1 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: bool | $stack2 = 365 | $stack2 = 366
110	570	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	if month < 1 goto return -1 | if month <= 12 goto (branch)
111	572	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	if month > 3 goto (branch)
112	574	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	if month > 6 goto (branch)
113	576	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	if month > 9 goto return 4
114	571	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	return -1
115	573	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	return 1
116	575	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	return 2
117	577	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	return 3
118	578	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int getQuarter	return 4
119	592	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return -1
120	600	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 1
121	618	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 10
122	620	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 11
123	622	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 12
124	602	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 2
125	604	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 3
126	606	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 4
127	608	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 5
128	610	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 6
129	612	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 7
130	614	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 8
131	616	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monAbbr2month	return 9
132	790	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monthsBetween	$stack6 = year2 - year1 | $stack7 = month2 - month1 | $stack8 = $stack6 * 12
133	788	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monthsBetween	if month1 < 1 goto return -1 | if month1 > 12 goto return -1 | if month2 < 1 goto return -1
134	789	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monthsBetween	return -1
135	791	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		int monthsBetween	return months
136	549	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	$stack3 = day % 10 | if $stack3 != 1 goto $stack4 = day % 10
137	551	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	$stack4 = day % 10 | if $stack4 != 2 goto $stack5 = day % 10
138	553	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"$stack5 = day % 10 | if $stack5 != 3 goto ans = dynamicinvoke ""makeConcatWithConstants"" <java.lang.St"
139	559	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"ans = ""(invalid)"""
140	546	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"ans = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (int)>(day) <jav"
141	552	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"ans = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (java.lang.Strin | goto [?= (branch)]"
142	554	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"ans = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (java.lang.Strin | goto [?= (branch)]"
143	550	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"ans = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (java.lang.Strin | goto [?= (branch)]"
144	548	0.0000000000	0.0000000000	0	0.0000000000		0.0000000000		0.0000000000		0.0000000000		java.lang.String dayStr	"ans = dynamicinvoke ""makeConcatWithConstants"" <java.lang.String (java.lang.Strin | goto [?= (branch)]"
