method signature	Jimple statement	suspicious score	ranking	source line	ef	ep	nf	failing tests
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l2 = 0	0.5821817364	15	341	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	l3 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l2)	0.5821817364	15	342	11	6	10	test040;test127;test139;test160;test189;test194;test286;test320;test328;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	goto [?= staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])> ::: 6")]	0.5520524475	30	181	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	if l0 != l6 goto l5 = l5 + 1	0.5520524475	30	182	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	if l5 >= l4 goto return l2	0.5520524475	30	181	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l2 = 0	0.5520524475	30	180	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l3 = l1	0.5520524475	30	181	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l4 = lengthof l3	0.5520524475	30	181	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l5 = 0	0.5520524475	30	181	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l5 = l5 + 1	0.5520524475	30	181	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	l6 = l3[l5]	0.5520524475	30	181	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>	return l2	0.5520524475	30	187	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	$stack6 = lengthof l3	0.5520524475	30	202	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	$stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l4)	0.5520524475	30	210	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	$stack8 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithms: boolean isOneOf(char,char[])>(l2, l1)	0.5520524475	30	204	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	goto [?= staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])> ::: 4")]	0.5520524475	30	208	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	if $stack8 == 0 goto l4 = l4 + 1	0.5520524475	30	204	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	if l4 >= $stack6 goto $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0, l4)	0.5520524475	30	202	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	l2 = l3[l4]	0.5520524475	30	203	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	l3 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()	0.5520524475	30	200	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	l4 = 0	0.5520524475	30	201	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	l4 = l4 + 1	0.5520524475	30	208	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: java.lang.String parseToken(java.lang.String,char[])>	return $stack7	0.5520524475	30	210	8	2	13	test167;test187;test312;test333;test337;test355;test423;test480
<comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>	if l3 <= 57 goto $stack8 = l1 * 10	0.5455447256	41	343	10	6	11	test040;test127;test139;test160;test189;test194;test286;test320;test449;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	$stack6 = virtualinvoke l0.<java.lang.String: int length()>()	0.5091750772	52	362	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	$stack9 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>(l5)	0.5091750772	52	378	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	goto [?= $stack9 = staticinvoke <comp5111.assignment.cut.Subject$StringAlgorithms: int extractIntInStr(java.lang.String)>(l5)]	0.5091750772	52	374	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	if $stack6 >= 1 goto l1 = newarray (int)[4]	0.5091750772	52	362	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	if l0 == null goto return null	0.5091750772	52	362	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	if l2 <= 3 goto l4 = virtualinvoke l0.<java.lang.String: int indexOf(int,int)>(46, l3)	0.5091750772	52	369	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	if l4 != -1 goto (branch)	0.5091750772	52	373	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	if l4 > 0 goto staticinvoke <comp5111.assignment.CoverageRuntime: void hit(java.lang.String)>("<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)> ::: 12")	0.5091750772	52	381	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l1 = newarray (int)[4]	0.5091750772	52	365	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l1[0] = 0	0.5091750772	52	366	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l1[1] = 0	0.5091750772	52	366	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l1[2] = 0	0.5091750772	52	366	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l1[3] = 0	0.5091750772	52	366	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l1[l2] = $stack9	0.5091750772	52	378	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l2 = 0	0.5091750772	52	367	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l2 = l2 + 1	0.5091750772	52	380	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l3 = 0	0.5091750772	52	367	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l3 = l4 + 1	0.5091750772	52	379	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l4 = virtualinvoke l0.<java.lang.String: int indexOf(int,int)>(46, l3)	0.5091750772	52	372	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	l5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int)>(l3)	0.5091750772	52	374	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$StringAlgorithms: int[] getVersionNo(java.lang.String)>	return l1	0.5091750772	52	382	7	2	14	test139;test160;test189;test194;test286;test328;test456
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack26 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>(l4, l5, l6, l7, l8, l9)	0.3086066999	63	697	2	0	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack14 = l2[0]	0.2519763153	70	691	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack16 = l2[1]	0.2519763153	70	692	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack18 = l2[2]	0.2519763153	70	693	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack20 = l3[0]	0.2519763153	70	694	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack22 = l3[1]	0.2519763153	70	695	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack24 = l3[2]	0.2519763153	70	696	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l2#2 = $stack28	0.2519763153	70	699	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l4 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack14)	0.2519763153	70	691	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l5 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack16)	0.2519763153	70	692	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l6 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack18)	0.2519763153	70	693	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l7 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack20)	0.2519763153	70	694	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l8 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack22)	0.2519763153	70	695	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l9 = staticinvoke <java.lang.Integer: int parseInt(java.lang.String)>($stack24)	0.2519763153	70	696	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	return -2147483648	0.2519763153	70	699	2	1	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack13 = lengthof l3	0.1781741613	78	689	2	4	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	if $stack13 == 3 goto $stack14 = l2[0]	0.1781741613	78	689	2	4	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	$stack5 = 0	0.1259881577	80	488	2	10	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	if l2 >= l3 goto $stack5 = 0	0.1166423687	81	488	2	12	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	if l2 <= 0 goto $stack5 = 0	0.1028689000	83	488	2	16	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	l3 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>(l0, l1)	0.1028689000	83	487	2	16	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	return $stack5	0.1028689000	83	488	2	16	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	return 31	0.0952380952	87	473	2	19	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	$stack12 = lengthof l2	0.0952380952	87	689	2	19	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	if $stack12 != 3 goto return -2147483648	0.0952380952	87	689	2	19	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(java.lang.String)>("-")	0.0952380952	87	687	2	19	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	l3 = virtualinvoke l1.<java.lang.String: java.lang.String[] split(java.lang.String)>("-")	0.0952380952	87	688	2	19	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if l1 != 11 goto return 31	0.0930484210	91	470	2	20	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if l1 == 6 goto return 30	0.0930484210	91	470	2	20	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if l1 == 9 goto return 30	0.0930484210	91	470	2	20	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	$stack16 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>(l0, l1, l2)	0.0910031510	96	444	2	21	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	$stack17 = new java.lang.IllegalArgumentException	0.0910031510	96	445	2	21	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	if $stack16 == 0 goto $stack17 = new java.lang.IllegalArgumentException	0.0910031510	96	444	2	21	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	l6 = staticinvoke <java.util.Calendar: java.util.Calendar getInstance()>()	0.0910031510	96	442	2	21	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	l7 = staticinvoke <java.util.Calendar: java.util.Calendar getInstance()>()	0.0910031510	96	443	2	21	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	specialinvoke $stack17.<java.lang.IllegalArgumentException: void <init>(java.lang.String)>("Invalid date")	0.0910031510	96	445	2	21	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	throw $stack17	0.0910031510	96	445	2	21	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if l1 != 2 goto (branch)	0.0824786099	100	467	2	26	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if l1 == 4 goto return 30	0.0824786099	100	470	2	26	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	if l1 <= 12 goto l3 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>(l0, l1)	0.0636607014	102	485	2	45	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if l1 <= 12 goto (branch)	0.0629940788	103	465	2	46	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if l1 < 1 goto return -1	0.0588489886	104	465	2	53	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	if l1 < 1 goto return 0	0.0554273995	105	485	2	60	19	test071;test376
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	$stack5 = 1	0.0000000000	670	488	0	6	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	goto [?= return $stack5]	0.0000000000	670	488	0	6	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>	return 0	0.0000000000	670	486	0	47	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	$stack1 = l0 % 4	0.0000000000	670	498	0	20	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	$stack2 = l0 % 100	0.0000000000	670	500	0	9	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	$stack3 = l0 % 400	0.0000000000	670	503	0	4	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	$stack4 = 0	0.0000000000	670	503	0	1	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	$stack4 = 1	0.0000000000	670	503	0	3	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	goto [?= return $stack4]	0.0000000000	670	503	0	3	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	if $stack1 == 0 goto $stack2 = l0 % 100	0.0000000000	670	498	0	20	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	if $stack2 == 0 goto $stack3 = l0 % 400	0.0000000000	670	500	0	9	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	if $stack3 != 0 goto $stack4 = 0	0.0000000000	670	503	0	4	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	return $stack4	0.0000000000	670	503	0	4	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	return 0	0.0000000000	670	499	0	11	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>	return 1	0.0000000000	670	501	0	5	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	$stack3 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean judgeLeapYear(int)>(l0)	0.0000000000	670	468	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	$stack4 = 28	0.0000000000	670	468	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	$stack4 = 29	0.0000000000	670	468	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	goto [?= return $stack4]	0.0000000000	670	468	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	if $stack3 == 0 goto $stack4 = 28	0.0000000000	670	468	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	return $stack4	0.0000000000	670	468	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	return -1	0.0000000000	670	466	0	27	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int calcDaysInMonth(int,int)>	return 30	0.0000000000	670	471	0	7	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	return $stack26	0.0000000000	670	697	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDateStrings(java.lang.String,java.lang.String)>	return -2147483648	0.0000000000	670	690	0	18	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	$stack18 = staticinvoke <comp5111.assignment.cut.Subject$DateTimeAlgorithms: boolean checkValidDate(int,int,int)>(l3, l4, l5)	0.0000000000	670	444	0	2	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	$stack19 = l1 - 1	0.0000000000	670	447	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	$stack20 = l4 - 1	0.0000000000	670	449	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	$stack23 = l12 / 86400000L	0.0000000000	670	454	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	$stack24 = (int) $stack23	0.0000000000	670	454	0	0	21	
<comp5111.assignment.cut.Subject$DateTimeAlgorithms: int daysBetweenDates(int,int,int,int,int,int)>	if $stack18 != 0 goto $stack19 = l1 - 1	0.0000000000	670	444	0	2	21	
